z,volumeWeightedAvg
8.924850999999999271e-03,9.918643293356900204e-01
8.994304999999999314e-03,9.918143256122609053e-01
9.063758999999999358e-03,9.917643659094390607e-01
9.133212999999999401e-03,9.917144493884831880e-01
9.202666999999999445e-03,9.916645753249044848e-01
9.272120999999999488e-03,9.916147430005668451e-01
9.341574999999999532e-03,9.915649516599220892e-01
9.411028999999999575e-03,9.915152006074878788e-01
9.480482999999999619e-03,9.914654890622002226e-01
9.549937499999999399e-03,9.914158156844042891e-01
9.619391999999999179e-03,9.913661811268654755e-01
9.688845999999999223e-03,9.913165840871759338e-01
9.758299999999999266e-03,9.912670239411176532e-01
9.827753999999999310e-03,9.912175000371471478e-01
9.897207999999999353e-03,9.911680117883574503e-01
9.966662499999999134e-03,9.911185578518784123e-01
1.003611499999999997e-02,9.910691416326312675e-01
1.010556999999999948e-02,9.910197524037508421e-01
1.017502500000000074e-02,9.909704029928412261e-01
1.024448000000000025e-02,9.909210795576178787e-01
1.031393499999999977e-02,9.908717949226808486e-01
1.038338500000000018e-02,9.908225418595192346e-01
1.045283999999999970e-02,9.907733129787880122e-01
1.052229499999999922e-02,9.907241211769131084e-01
1.059175000000000047e-02,9.906749526209316370e-01
1.066120499999999999e-02,9.906258201517861295e-01
1.073065500000000040e-02,9.905767166269147106e-01
1.080010999999999992e-02,9.905276347339861953e-01
1.086956499999999944e-02,9.904785874358612574e-01
1.093902000000000069e-02,9.904295609515934018e-01
1.100847500000000020e-02,9.903805681182148435e-01
1.107792500000000062e-02,9.903316017891787837e-01
1.114738000000000014e-02,9.902826546992615775e-01
1.121683499999999965e-02,9.902337398691027914e-01
1.128628999999999917e-02,9.901848435974540674e-01
1.135574500000000042e-02,9.901359788159606046e-01
1.142519500000000084e-02,9.900871384249718687e-01
1.149465000000000035e-02,9.900383151807594651e-01
1.156410499999999987e-02,9.899895220753157643e-01
1.163355999999999939e-02,9.899407454335240608e-01
1.170301500000000064e-02,9.898919981416398617e-01
1.177247000000000016e-02,9.898432666233397681e-01
1.184192499999999967e-02,9.897945637599659952e-01
1.191137500000000009e-02,9.897458825543266059e-01
1.198082999999999960e-02,9.896972158186256863e-01
1.205028500000000086e-02,9.896485765285455427e-01
1.211974000000000037e-02,9.895999511229988110e-01
1.218919499999999989e-02,9.895513525533951027e-01
1.225864500000000031e-02,9.895027738881339019e-01
1.232809999999999982e-02,9.894542080521558924e-01
1.239755499999999934e-02,9.894056680478181542e-01
1.246701000000000059e-02,9.893571403281189447e-01
1.253646500000000011e-02,9.893086378133749692e-01
1.260591500000000052e-02,9.892601535334292207e-01
1.267537000000000004e-02,9.892116804730162194e-01
1.274482499999999956e-02,9.891632316426415272e-01
1.281428000000000081e-02,9.891147935886439591e-01
1.288373500000000033e-02,9.890663792749448957e-01
1.295318500000000074e-02,9.890179817281058439e-01
1.302264000000000026e-02,9.889695939774819644e-01
1.309209499999999977e-02,9.889212289908427822e-01
1.316154999999999929e-02,9.888728733777548685e-01
1.323100500000000054e-02,9.888245400766330073e-01
1.330046000000000006e-02,9.887762156678686631e-01
1.336991499999999958e-02,9.887279131004649280e-01
1.343936499999999999e-02,9.886796254916229154e-01
1.350881999999999951e-02,9.886313458592369541e-01
1.357827500000000076e-02,9.885830871937972830e-01
1.364773000000000028e-02,9.885348361433299313e-01
1.371718499999999979e-02,9.884866057044607857e-01
1.378663500000000021e-02,9.884383890330225020e-01
1.385608999999999973e-02,9.883901792416454057e-01
1.392554499999999924e-02,9.883419893023625002e-01
1.399500000000000050e-02,9.882938058928685265e-01
1.406445500000000001e-02,9.882456419682007498e-01
1.413390500000000043e-02,9.881974906731874064e-01
1.420335999999999994e-02,9.881493452067868777e-01
1.427281499999999946e-02,9.881012185337464393e-01
1.434227000000000071e-02,9.880530974062484706e-01
1.441172500000000023e-02,9.880049947742952643e-01
1.448117500000000064e-02,9.879569037747421012e-01
1.455063000000000016e-02,9.879088176026652457e-01
1.462008499999999968e-02,9.878607491828543807e-01
